training,GT
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-010/anat/sub-010_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-010/seg/sub-010_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-012/anat/sub-012_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-012/seg/sub-012_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-014/anat/sub-014_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-014/seg/sub-014_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-014/anat/sub-014_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-014/seg/sub-014_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-015/anat/sub-015_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-015/seg/sub-015_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-016/anat/sub-016_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-016/seg/sub-016_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-017/anat/sub-017_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-017/seg/sub-017_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-018/anat/sub-018_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-018/seg/sub-018_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-020/anat/sub-020_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-020/seg/sub-020_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-020/anat/sub-020_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-020/seg/sub-020_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-020/anat/sub-020_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-020/seg/sub-020_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-021/anat/sub-021_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-021/seg/sub-021_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-022/anat/sub-022_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-022/seg/sub-022_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-023/anat/sub-023_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-023/seg/sub-023_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-023/anat/sub-023_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-023/seg/sub-023_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-024/anat/sub-024_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-024/seg/sub-024_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-024/anat/sub-024_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-024/seg/sub-024_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-026/anat/sub-026_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-026/seg/sub-026_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-026/anat/sub-026_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-026/seg/sub-026_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-027/anat/sub-027_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-027/seg/sub-027_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-027/anat/sub-027_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-027/seg/sub-027_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-028/anat/sub-028_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-028/seg/sub-028_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-029/anat/sub-029_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-029/seg/sub-029_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/anat/sub-031_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/seg/sub-031_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/anat/sub-031_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/seg/sub-031_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/anat/sub-031_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/seg/sub-031_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/anat/sub-031_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/seg/sub-031_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/anat/sub-031_ses-005_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/seg/sub-031_ses-005_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/anat/sub-031_ses-006_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-031/seg/sub-031_ses-006_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-032/anat/sub-032_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-032/seg/sub-032_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-033/anat/sub-033_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-033/seg/sub-033_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-034/anat/sub-034_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-034/seg/sub-034_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-035/anat/sub-035_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-035/seg/sub-035_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-035/anat/sub-035_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-035/seg/sub-035_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-037/anat/sub-037_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-037/seg/sub-037_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-038/anat/sub-038_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-038/seg/sub-038_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-039/anat/sub-039_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-039/seg/sub-039_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/anat/sub-040_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/seg/sub-040_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/anat/sub-040_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/seg/sub-040_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/anat/sub-040_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/seg/sub-040_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/anat/sub-040_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-040/seg/sub-040_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/anat/sub-041_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/seg/sub-041_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/anat/sub-041_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/seg/sub-041_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/anat/sub-041_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/seg/sub-041_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/anat/sub-041_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-041/seg/sub-041_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-042/anat/sub-042_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-042/seg/sub-042_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-043/anat/sub-043_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-043/seg/sub-043_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-043/anat/sub-043_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-043/seg/sub-043_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-044/anat/sub-044_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-044/seg/sub-044_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-044/anat/sub-044_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-044/seg/sub-044_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-046/anat/sub-046_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-046/seg/sub-046_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-046/anat/sub-046_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-046/seg/sub-046_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-047/anat/sub-047_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-047/seg/sub-047_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-048/anat/sub-048_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-048/seg/sub-048_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-048/anat/sub-048_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-048/seg/sub-048_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-048/anat/sub-048_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-048/seg/sub-048_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-049/anat/sub-049_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-049/seg/sub-049_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-050/anat/sub-050_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-050/seg/sub-050_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-050/anat/sub-050_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-050/seg/sub-050_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-051/anat/sub-051_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-051/seg/sub-051_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-052/anat/sub-052_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-052/seg/sub-052_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-052/anat/sub-052_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-052/seg/sub-052_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-052/anat/sub-052_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-052/seg/sub-052_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-053/anat/sub-053_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-053/seg/sub-053_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-054/anat/sub-054_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-054/seg/sub-054_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-054/anat/sub-054_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-054/seg/sub-054_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-054/anat/sub-054_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-054/seg/sub-054_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-055/anat/sub-055_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-055/seg/sub-055_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-056/anat/sub-056_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-056/seg/sub-056_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-056/anat/sub-056_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-056/seg/sub-056_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/anat/sub-057_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/seg/sub-057_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/anat/sub-057_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/seg/sub-057_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/anat/sub-057_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/seg/sub-057_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/anat/sub-057_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-057/seg/sub-057_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-059/anat/sub-059_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-059/seg/sub-059_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/anat/sub-060_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/seg/sub-060_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/anat/sub-060_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/seg/sub-060_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/anat/sub-060_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/seg/sub-060_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/anat/sub-060_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/seg/sub-060_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/anat/sub-060_ses-005_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-060/seg/sub-060_ses-005_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/anat/sub-061_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/seg/sub-061_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/anat/sub-061_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/seg/sub-061_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/anat/sub-061_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/seg/sub-061_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/anat/sub-061_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/seg/sub-061_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/anat/sub-061_ses-005_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/seg/sub-061_ses-005_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/anat/sub-061_ses-006_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/seg/sub-061_ses-006_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/anat/sub-061_ses-007_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-061/seg/sub-061_ses-007_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-062/anat/sub-062_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-062/seg/sub-062_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-062/anat/sub-062_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-062/seg/sub-062_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-063/anat/sub-063_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-063/seg/sub-063_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-064/anat/sub-064_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-064/seg/sub-064_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-064/anat/sub-064_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-064/seg/sub-064_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-065/anat/sub-065_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-065/seg/sub-065_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-067/anat/sub-067_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-067/seg/sub-067_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-067/anat/sub-067_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-067/seg/sub-067_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-069/anat/sub-069_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-069/seg/sub-069_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-070/anat/sub-070_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-070/seg/sub-070_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-070/anat/sub-070_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-070/seg/sub-070_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-070/anat/sub-070_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-070/seg/sub-070_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-071/anat/sub-071_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-071/seg/sub-071_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/anat/sub-072_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/seg/sub-072_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/anat/sub-072_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/seg/sub-072_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/anat/sub-072_ses-003_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/seg/sub-072_ses-003_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/anat/sub-072_ses-004_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-072/seg/sub-072_ses-004_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-073/anat/sub-073_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-073/seg/sub-073_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-073/anat/sub-073_ses-002_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-073/seg/sub-073_ses-002_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-074/anat/sub-074_ses-001_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS/sub-074/seg/sub-074_ses-001_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS_augm/sub-002/anat/sub-002_ses-001a_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS_augm/sub-002/seg/sub-002_ses-001a_training_labels.nii.gz
/analyse/Project0235/segmentator/data/glasgow/7T/BIDS_augm/sub-002/anat/sub-002_ses-001b_T1w.nii.gz,/analyse/Project0235/segmentator/data/glasgow/7T/BIDS_augm/sub-002/seg/sub-002_ses-001b_training_labels.nii.gz
